positionType,publishTime,peopleNum,positionlink,positionname,workLocation
技术类,2019-03-13,1,position_detail.php?id=48331&keywords=&tid=0&lid=0,GY0-【国际业务部】前端开发工程师（深圳）,深圳
技术类,2019-03-13,1,position_detail.php?id=48332&keywords=&tid=0&lid=0,30361-阅读及电台类产品后台开发,深圳
技术类,2019-03-13,2,position_detail.php?id=48333&keywords=&tid=0&lid=0,PCG09-Android 客户端开发工程师（深圳）,深圳
市场类,2019-03-13,1,position_detail.php?id=48334&keywords=&tid=0&lid=0,PCG09-商业分析师（北京）,北京
设计类,2019-03-13,1,position_detail.php?id=48335&keywords=&tid=0&lid=0,WXG07-412 广研交互设计师（广州）,广州
产品/项目类,2019-03-13,1,position_detail.php?id=48324&keywords=&tid=0&lid=0,WXG10-211 企业微信应用市场产品运营（广州）,广州
技术类,2019-03-13,1,position_detail.php?id=48325&keywords=&tid=0&lid=0,WXG10-117 Foxmail Mac开发工程师（广州）,广州
技术类,2019-03-13,1,position_detail.php?id=48326&keywords=&tid=0&lid=0,WXG10-119 Foxmail Windows开发工程师（广州）,广州
技术类,2019-03-13,1,position_detail.php?id=48327&keywords=&tid=0&lid=0,WXG07-152 QQ邮箱专项技术测试（广州）,广州
技术类,2019-03-13,1,position_detail.php?id=48329&keywords=&tid=0&lid=0,31967-游戏直播数据分析经理,深圳
技术类,2019-03-13,1,position_detail.php?id=48330&keywords=&tid=0&lid=0,28481-交付运维工程师（深圳）,深圳
技术类,2019-03-13,1,position_detail.php?id=48318&keywords=&tid=0&lid=0,TME-QQ音乐创新平台Android开发工程师（深圳）,深圳
设计类,2019-03-13,1,position_detail.php?id=48319&keywords=&tid=0&lid=0,27553-腾讯音乐用户研究经理（深圳）,深圳
技术类,2019-03-13,1,position_detail.php?id=48320&keywords=&tid=0&lid=0,25924-移动客户端高级开发工程师,上海
职能类,2019-03-13,1,position_detail.php?id=48321&keywords=&tid=0&lid=0,26832-招聘专员,深圳
技术类,2019-03-13,1,position_detail.php?id=48322&keywords=&tid=0&lid=0,WXG10-153 企业微信质量管理QA（广州）,广州
产品/项目类,2019-03-13,1,position_detail.php?id=48323&keywords=&tid=0&lid=0,WXG10-212 企业微信应用市场产品策划（广州）,广州
市场类,2019-03-13,1,position_detail.php?id=48314&keywords=&tid=0&lid=0,25666-腾讯云华东区域销售（上海/安徽）（上海）,上海
市场类,2019-03-13,1,position_detail.php?id=48315&keywords=&tid=0&lid=0,25666-腾讯云华东区域销售（上海/安徽）（合肥）,合肥
职能类,2019-03-13,2,position_detail.php?id=48316&keywords=&tid=0&lid=0,31109-HRBP(深圳）,深圳
技术类,2019-03-13,1,position_detail.php?id=48317&keywords=&tid=0&lid=0,29300-Web前端开发工程师,深圳
